Point X,Point Y,Street Address,City,Postal Code,Planting Site Width,Planting Site Length,Planting Site Id,Custom Id,Updated At,Updated By,Tree Id,Tree Present,Genus,Species,Cultivar,Other Part Of Name,Common Name,Diameter,Tree Height,Canopy Height,Date Planted,Date Removed,Tree: Canopy Condition,Tree: Stewardship,Tree: Tree Condition,Planting Site: Plot Type,Planting Site: Powerlines Overhead,Planting Site: Sidewalk Damage,Planting Site: Stewardship
-75.1502020401,39.9511482283,1 North Independence Mall West,Philadelphia,19106,,,369988,,2014-09-29T22:20:25.789574+00:00,ptmadmin,281974,True,Quercus,bicolor,,,Swamp white oak,,,,,,,,,,,,
-75.1472594977,39.9506094694,,Philadelphia,19106,,,370069,,2014-09-29T22:20:27.691359+00:00,ptmadmin,282056,True,Quercus,rubra,,,Northern red oak,,,,,,,,,,,,
-75.1473826306,39.9502040714,,Philadelphia,19106,,,370073,,2014-09-29T22:20:27.783585+00:00,ptmadmin,282060,True,Acer,rubrum,,,Red maple,,,,,,,,,,,,
-75.1513583437,39.9543211512,,Philadelphia,19106,,,367993,,2014-09-29T22:19:36.860484+00:00,ptmadmin,279917,True,Acer,rubrum,,,Red maple,,,,,,,,,,,,
-75.150573219,39.9503439301,,Philadelphia,19106,,,369703,,2014-09-29T22:20:18.913398+00:00,ptmadmin,281673,True,Quercus,rubra,,,Northern red oak,,,,,,,,,,,,
-75.1495168513,39.9527726099,,Philadelphia,19106,,,368132,,2014-09-29T22:19:40.215921+00:00,ptmadmin,280043,True,Celtis,occidentalis,,,Northern hackberry,,,,,,,,,,,,
-75.151891905,39.9508352358,,Philadelphia,19106,,,369729,,2014-09-29T22:20:19.527045+00:00,ptmadmin,281700,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1436682819,39.9482530593,130 Chestnut St,Philadelphia,19106,,,369778,,2014-09-29T22:20:20.720255+00:00,ptmadmin,281753,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1459217145,39.950278062,301 Market Street,Philadelphia,19106,,,369875,,2014-09-29T22:20:23.045197+00:00,ptmadmin,281852,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1451777536,39.953996267,302 Race Street,Philadelphia,19106,,,368163,,2014-09-29T22:19:40.921872+00:00,ptmadmin,280073,True,Acer,rubrum,,,Red maple,,,,,,,,,,,,
-75.1435084028,39.948229293,120 Chestnut Street,Philadelphia,19106,,,365462,,2014-09-29T22:20:20.744316+00:00,ptmadmin,281754,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1460306716,39.950147072,,Philadelphia,19106,,,369826,,2014-09-29T22:20:21.882467+00:00,ptmadmin,281803,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1490448904,39.949451573,,Philadelphia,19106,,,370047,,2014-09-29T22:20:27.276596+00:00,ptmadmin,282038,True,Prunus,serrulata,,,Kwanzan cherry,,,,,,,,,,,,
-75.1458960462,39.9487005692,45-99 South 3rd Street,Philadelphia,19106,,,333260,,2014-09-29T22:25:10.926760+00:00,ptmadmin,293811,True,Acer,spp,,,Maple,,,,,,,,,,,,
-75.1450251716,39.9540958439,301 Race Street,Philadelphia,19106,,,360135,,2014-09-29T22:19:41.085442+00:00,ptmadmin,280080,True,Quercus,rubra,,,Northern red oak,,,,,,,,,,,,
-75.1451236155,39.9553052852,306 New Street,Philadelphie,19106,,,368248,,2014-09-29T22:19:42.961902+00:00,ptmadmin,280160,True,Ginkgo,biloba,,,Ginkgo,,,,,,,,,,,,
-75.1511324299,39.9542340561,156-198 N 7th St,Philadelphia,19106,,,359217,,2014-09-29T22:19:45.609059+00:00,ptmadmin,280272,True,Ulmus,parvifolia,,,Chinese elm,,,,,,,,,,,,
-75.1478856085,39.9488293309,400-410 Chestnut Street,Philadelphia,19106,,,369806,,2014-09-29T22:20:21.444105+00:00,ptmadmin,281784,True,Tilia,cordata,,,Littleleaf linden,,,,,,,,,,,,
-75.1459474549,39.9521905093,300-318 Arch Street,Philadelphia,19106,,,369910,,2014-09-29T22:20:23.809635+00:00,ptmadmin,281886,True,Quercus,rubra,,,Northern red oak,,,,,,,,,,,,
-75.1498521924,39.9526420067,,Philadelphia,19106,,,370004,,2014-09-29T22:20:26.160979+00:00,ptmadmin,281990,True,Quercus,bicolor,,,Swamp white oak,,,,,,,,,,,,
-75.1471398712,39.9505160424,,Philadelphia,19106,,,370107,,2014-09-29T22:20:28.557944+00:00,ptmadmin,282094,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1493439926,39.9475445305,459-499 Walnut St,Philadelphia,19106,,,373627,,2014-09-29T22:21:51.979769+00:00,ptmadmin,285535,True,Quercus,rubra,,,Northern red oak,,,,,,,,,,,,
-75.1515433161,39.9525805262,,Philadelphia,19106,,,369695,,2014-09-29T22:20:18.707321+00:00,ptmadmin,281664,True,Quercus,acutissima,,,Sawtooth oak,,,,,,,,,,,,
-75.1507648734,39.9494667622,66-98 South 6th Street,Philadelphia,19106,,,369698,,2014-09-29T22:20:18.774575+00:00,ptmadmin,281667,True,Quercus,rubra,,,Northern red oak,,,,,,,,,,,,
-75.1491765951,39.94986359,34-64 South Independence Mall East,Philadelphia,19106,,,370028,,2014-09-29T22:20:26.794772+00:00,ptmadmin,282017,True,Quercus,acutissima,,,Sawtooth oak,,,,,,,,,,,,
-75.1468184203,39.9565367105,,Philadelphia,19106,,,366863,,2014-09-29T22:19:11.437657+00:00,ptmadmin,278839,True,Prunus,serrulata,,,Kwanzan cherry,,,,,,,,,,,,
-75.1461420287,39.9523603961,,Philadelphia,19106,,,368145,,2014-09-29T22:19:40.498998+00:00,ptmadmin,280055,True,Prunus,serrulata,,,Kwanzan cherry,,,,,,,,,,,,
-75.1453354905,39.9560196903,,Philadelphia,19106,,,368230,,2014-09-29T22:19:42.542958+00:00,ptmadmin,280142,True,Acer,rubrum,,,Red maple,,,,,,,,,,,,
-75.1508328513,39.9528091709,600 Arch Street,Philadelphia,19106,,,369676,,2014-09-29T22:20:18.253261+00:00,ptmadmin,281644,True,Pyrus,calleryana,,,Callery pear,,,,,,,,,,,,
-75.1449238611,39.948405369,232-262 Chestnut St,Philadelphia,19106,,,369791,,2014-09-29T22:20:21.076418+00:00,ptmadmin,281768,True,Gleditsia,triacanthos,,,Honeylocust,,,,,,,,,,,,
-75.1478564757,39.9539829883,,Philadelphia,19106,,,368388,,2014-09-29T22:19:46.556120+00:00,ptmadmin,280312,True,Acer,campestre,,,Hedge maple,,,,,,,,,,,,
